time,Open,High,Low,Close,Volume,Market Spread,Change,MA(5days),MA(20days),MA(50days),MA(88days),MA(100days),MA(200days),EMA(5days),STD(5days),EMA(20days),STD(20days),EMA(50days),STD(50days),EMA(100days),STD(100days),MACD0,MACD1,MACD2,MACD3,MACD4,MACD5,Bollinger Upper,Bollinger Lower
1/17/2021,36004.8,36860,33850.03,35820,52359854336,3009.97,-0.005191777,37020.082,34803.742,26606.2026,21881.78864,20648.7495,15650.73435,36483.67026,1333.034766,34271.42001,4009.653194,28473.35925,7526.987389,23105.07547,8182.030979,2212.250246,8010.311002,13378.59479,5798.060756,11166.34454,5368.283785,42823.04839,26784.43561
1/18/2021,35820.01,37402,34736.46,36624.23,49511702429,2665.54,0.022451982,36866.196,35266.636,26974.6464,22150.3933,20901.9968,15788.39785,36530.5235,1323.504867,34495.49715,3621.449373,28793.00124,7558.026954,23372.7815,8281.055144,2035.026352,7737.52226,13157.742,5702.495908,11122.71565,5420.219745,42509.53475,28023.73725
1/19/2021,36624.23,37857,35895.11,35917.28,57244195486,1961.89,-0.019302795,36224.624,35617.629,27298.7132,22411.53182,21147.4295,15922.6649,36326.109,431.9146203,34630.90504,3297.331609,29072.38472,7587.673509,23621.18741,8359.150331,1695.20396,7253.724278,12704.92159,5558.520318,11009.71763,5451.197314,42212.29222,29022.96578
1/20/2021,35921.91,36415.34,33387.01,35503.09,66834573161,3028.33,-0.011531775,35974.308,35943.2795,27633.1156,22665.8142,21387.1058,16054.4878,36051.76934,410.0527432,34713.97028,2906.827422,29324.56925,7573.139083,23856.47261,8424.120366,1337.799059,6727.20009,12195.29672,5389.401031,10857.49767,5468.096635,41756.93434,30129.62466
1/21/2021,35498.85,35628.24,30011,30855.95,75643067688,5617.24,-0.130893959,34944.11,36015.435,27865.722,22868.21136,21581.3831,16163.3956,34319.82956,2321.775031,34346.53977,2749.865266,29384.62339,7487.7654,23995.07612,8416.145994,-26.71021717,4935.206164,10324.75343,4961.916381,10351.46365,5389.54727,41515.16553,30515.70447
1/22/2021,30855.9,33867,28732,32984.93,77207272511,5135,0.068997389,34377.096,36053.386,28136.4478,23094.53114,21796.9554,16281.6037,33874.86304,2399.283006,34216.86265,2699.591352,29525.81189,7421.644162,24173.09303,8429.515417,-341.9996148,4349.051151,9701.770006,4691.050766,10043.76962,5352.718856,41452.5687,30654.2033
1/23/2021,32982.66,33488.79,31432.19,32112.01,48354737975,2056.6,-0.026464207,33474.652,36004.9535,28405.526,23303.7792,22002.9821,16395.89405,33287.24536,2181.468157,34016.4005,2763.659917,29627.23142,7314.097605,24330.29931,8427.310646,-729.1551367,3660.013938,8956.946051,4389.169074,9686.101187,5296.932113,41532.27333,30477.63367
1/24/2021,32110,33086.53,30931.21,32288.56,48643830599,2155.32,0.005497943,32748.908,36018.382,28668.118,23519.77364,22212.5782,16510.16045,32954.35024,1720.615748,33851.84426,2743.85962,29731.59725,7210.304995,24487.88863,8419.795102,-897.4940185,3222.752992,8466.46161,4120.24701,9363.955629,5243.708619,41506.10124,30530.66276
1/25/2021,32293.18,34888,31920.8,32261.87,59897054838,2967.2,-0.000826609,32100.664,35929.9435,28925.8434,23733.43125,22421.518,16625.28505,32723.52349,773.4113255,33700.41814,2838.183106,29830.82363,7100.847106,24641.82885,8407.19835,-976.8946451,2892.699863,8081.694639,3869.594508,9058.589284,5188.994776,41606.30971,30253.57729
1/26/2021,32260.52,32960.37,30830,32510.82,60255421470,2130.37,0.00771654,32431.638,35712.5215,29192.5056,23948.65068,22631.4842,16741.3839,32652.62233,340.5350102,33587.12308,2928.370423,29935.92153,6976.56422,24797.65046,8394.221963,-934.5007486,2716.700802,7854.971868,3651.20155,8789.472616,5138.271066,41569.26235,29855.78065
